Protein,p_val,avg_log2FC,p_val_adj,clone1,clone2
CD56,NA,-3.3142773963191,NA,IDH-NPM1,TET2-NPM1
CD62P,NA,1.26237933890352,NA,IDH-NPM1,TET2-NPM1
Fc&#949;RI&#945;,NA,0.839523900932301,NA,IDH-NPM1,TET2-NPM1
IgG2b,NA,1.77034926148891,NA,IDH-NPM1,TET2-NPM1
CD14,5.59645338494901e-08,-3.49522624497249,2.51840402322705e-06,IDH-NPM1,TET2-NPM1-MAPK
CD56,8.11492804310733e-06,-2.30684209505223,0.00036517176193983,IDH-NPM1,TET2-NPM1-MAPK
CD16,0.000118246253695353,-2.10528671608833,0.00532108141629088,IDH-NPM1,TET2-NPM1-MAPK
CD69,0.000891544852340834,1.35439371664979,0.0401195183553375,IDH-NPM1,TET2-NPM1-MAPK
CD11b,0.00144484239209769,-1.62947660888325,0.065017907644396,IDH-NPM1,TET2-NPM1-MAPK
CD19,0.00255089322734411,1.25533333995611,0.114790195230485,IDH-NPM1,TET2-NPM1-MAPK
CD38,0.0219403718740731,0.514110191834854,0.987316734333288,IDH-NPM1,TET2-NPM1-MAPK
CD163,0.0291135667269744,-1.46166445753697,1,IDH-NPM1,TET2-NPM1-MAPK
CD123,0.0322751467144302,0.490524644524687,1,IDH-NPM1,TET2-NPM1-MAPK
CD64,0.0602289616519757,-1.43900197727022,1,IDH-NPM1,TET2-NPM1-MAPK
CD7,0.125025003127051,-0.751978013903971,1,IDH-NPM1,TET2-NPM1-MAPK
CD45,0.142697995649447,-1.11492714558179,1,IDH-NPM1,TET2-NPM1-MAPK
CD138,0.148005813067045,0.397170528128117,1,IDH-NPM1,TET2-NPM1-MAPK
CD10,0.190261701267821,-0.295919042202837,1,IDH-NPM1,TET2-NPM1-MAPK
CD1c,0.248863037225623,0.650978814548728,1,IDH-NPM1,TET2-NPM1-MAPK
CD22,0.249047476971932,0.43833490631148,1,IDH-NPM1,TET2-NPM1-MAPK
IgG1,0.255254265340007,0.880433040980216,1,IDH-NPM1,TET2-NPM1-MAPK
CD8,0.315276568160007,0.214663426442905,1,IDH-NPM1,TET2-NPM1-MAPK
CD49d,0.374063821679138,-0.309032406275639,1,IDH-NPM1,TET2-NPM1-MAPK
CD45RA,0.393528356428009,0.141424832317461,1,IDH-NPM1,TET2-NPM1-MAPK
CD5,0.42635713477918,0.312604352818525,1,IDH-NPM1,TET2-NPM1-MAPK
CD90,0.430335629263567,-0.398168303255001,1,IDH-NPM1,TET2-NPM1-MAPK
CD44,0.448272991087878,-0.272418316118321,1,IDH-NPM1,TET2-NPM1-MAPK
CD303,0.468633451299564,0.554210058606299,1,IDH-NPM1,TET2-NPM1-MAPK
CD33,0.481511015564736,-0.610056703873466,1,IDH-NPM1,TET2-NPM1-MAPK
HLA-DR,0.603598173803889,-0.43842780214546,1,IDH-NPM1,TET2-NPM1-MAPK
CD30,0.616175916013482,-0.387313698280272,1,IDH-NPM1,TET2-NPM1-MAPK
CD62L,0.707654133854907,0.603412549655102,1,IDH-NPM1,TET2-NPM1-MAPK
CD13,0.729546613508046,-0.366624824786087,1,IDH-NPM1,TET2-NPM1-MAPK
CD11c,0.757916099834069,-0.255514758430587,1,IDH-NPM1,TET2-NPM1-MAPK
CD2,0.764020184506937,0.364011225914808,1,IDH-NPM1,TET2-NPM1-MAPK
CD25,0.800658965318828,-0.201656572188044,1,IDH-NPM1,TET2-NPM1-MAPK
CD83,0.849125192500006,0.107124623637876,1,IDH-NPM1,TET2-NPM1-MAPK
CD3,0.930996074553439,0.752777420965721,1,IDH-NPM1,TET2-NPM1-MAPK
CD304,0.936405718495444,-0.380190662937647,1,IDH-NPM1,TET2-NPM1-MAPK
CD4,0.989627974741072,-0.699335199822613,1,IDH-NPM1,TET2-NPM1-MAPK
CD117,NA,1.85616385676511,NA,IDH-NPM1,TET2-NPM1-MAPK
CD141,NA,-0.650814908121818,NA,IDH-NPM1,TET2-NPM1-MAPK
CD34,NA,1.38775211772896,NA,IDH-NPM1,TET2-NPM1-MAPK
CD45RO,NA,-0.0405348952559397,NA,IDH-NPM1,TET2-NPM1-MAPK
CD62P,NA,3.29275077805787,NA,IDH-NPM1,TET2-NPM1-MAPK
CD71,NA,0.440728288336352,NA,IDH-NPM1,TET2-NPM1-MAPK
Fc&#949;RI&#945;,NA,0.849582290517544,NA,IDH-NPM1,TET2-NPM1-MAPK
IgG2a,NA,1.43295663624081,NA,IDH-NPM1,TET2-NPM1-MAPK
IgG2b,NA,1.72818105710361,NA,IDH-NPM1,TET2-NPM1-MAPK
CD14,1.16290483109045e-09,-3.34008065700945,5.233071739907e-08,IDH-NPM1,TET2-only
IgG1,5.51868210148908e-05,1.55908974557632,0.00248340694567009,IDH-NPM1,TET2-only
CD16,0.000104541267972118,-1.81495286765204,0.00470435705874533,IDH-NPM1,TET2-only
CD5,0.000365491843361634,-1.51333132138799,0.0164471329512735,IDH-NPM1,TET2-only
CD2,0.00115258691384356,-1.43076938418611,0.05186641112296,IDH-NPM1,TET2-only
CD7,0.00226620755953478,-1.43757068896706,0.101979340179065,IDH-NPM1,TET2-only
CD45,0.00466390669206134,-1.0989925717432,0.20987580114276,IDH-NPM1,TET2-only
CD8,0.00513962304234231,-1.32425260813046,0.231283036905404,IDH-NPM1,TET2-only
Fc&#949;RI&#945;,0.00536490684974316,0.953539509908476,0.241420808238442,IDH-NPM1,TET2-only
CD3,0.00709128517480283,-1.29523905850015,0.319107832866127,IDH-NPM1,TET2-only
CD138,0.00910971739021211,0.426936535543209,0.409937282559545,IDH-NPM1,TET2-only
CD19,0.0123314170559691,-1.16636687775695,0.554913767518611,IDH-NPM1,TET2-only
CD123,0.0163259969631937,0.767833159308355,0.734669863343715,IDH-NPM1,TET2-only
CD38,0.0169191879302024,0.487707528303906,0.761363456859106,IDH-NPM1,TET2-only
CD33,0.0263495032946506,0.376120702592563,1,IDH-NPM1,TET2-only
CD11b,0.0385441397886237,-0.972974636314187,1,IDH-NPM1,TET2-only
CD90,0.0579464824280497,-0.924175089790804,1,IDH-NPM1,TET2-only
CD83,0.104343800305169,0.224643800163332,1,IDH-NPM1,TET2-only
CD69,0.11461676056383,0.45222924867817,1,IDH-NPM1,TET2-only
CD303,0.131602586710115,0.407642649166122,1,IDH-NPM1,TET2-only
CD141,0.13367481784369,-0.172705511874536,1,IDH-NPM1,TET2-only
HLA-DR,0.202114843361557,-0.600926317479968,1,IDH-NPM1,TET2-only
CD44,0.20609408951118,0.0461010726965405,1,IDH-NPM1,TET2-only
CD11c,0.208117534408331,0.256993208026795,1,IDH-NPM1,TET2-only
CD49d,0.296625743011892,-0.00204434662061814,1,IDH-NPM1,TET2-only
CD4,0.3401648987266,-0.71137207583385,1,IDH-NPM1,TET2-only
CD13,0.359403171814136,-0.062142716011123,1,IDH-NPM1,TET2-only
CD62L,0.421820774287308,0.555050543478678,1,IDH-NPM1,TET2-only
CD25,0.436842702722727,-0.172748128025457,1,IDH-NPM1,TET2-only
CD304,0.441476097868121,-0.132079551974267,1,IDH-NPM1,TET2-only
CD163,0.457841040103406,-0.769398983262637,1,IDH-NPM1,TET2-only
CD30,0.637545246985412,-0.23244291691917,1,IDH-NPM1,TET2-only
CD10,0.798259694377119,-0.17234092507253,1,IDH-NPM1,TET2-only
CD64,0.818432638347657,-0.454784449908678,1,IDH-NPM1,TET2-only
CD22,0.907389226950898,-0.0869711211630344,1,IDH-NPM1,TET2-only
CD1c,0.926847589130163,-0.0540531729610034,1,IDH-NPM1,TET2-only
CD45RA,0.968391957881828,-0.173648544011765,1,IDH-NPM1,TET2-only
CD62P,NA,1.74273630463937,NA,IDH-NPM1,TET2-only
CD117,NA,2.79029160446925,NA,IDH-NPM1,TET2-only
CD34,NA,0.770363116832039,NA,IDH-NPM1,TET2-only
CD45RO,NA,0.256549585106737,NA,IDH-NPM1,TET2-only
CD56,NA,-3.03973693679224,NA,IDH-NPM1,TET2-only
CD71,NA,0.494612726967508,NA,IDH-NPM1,TET2-only
IgG2a,NA,1.46773024384813,NA,IDH-NPM1,TET2-only
IgG2b,NA,1.98637775873177,NA,IDH-NPM1,TET2-only
CD90,1.04383099131592e-11,-4.19579363235384,4.69723946092166e-10,IDH-NPM1,NPM1-FLT3
CD14,7.95519756105762e-06,-3.76873521381755,0.000357983890247593,IDH-NPM1,NPM1-FLT3
CD56,1.18068858275732e-05,-2.88766756925141,0.000531309862240794,IDH-NPM1,NPM1-FLT3
CD163,0.000570368312278115,-0.569851580663122,0.0256665740525152,IDH-NPM1,NPM1-FLT3
CD62L,0.00249167053500114,1.49251871044414,0.112125174075051,IDH-NPM1,NPM1-FLT3
Fc&#949;RI&#945;,0.0144725275844374,1.2606897083159,0.651263741299682,IDH-NPM1,NPM1-FLT3
CD33,0.0726092853829386,0.249971852109248,1,IDH-NPM1,NPM1-FLT3
CD1c,0.0813763881326976,0.912145342287892,1,IDH-NPM1,NPM1-FLT3
CD11b,0.0939253736655518,-1.20887126460358,1,IDH-NPM1,NPM1-FLT3
CD38,0.10076098601731,0.23092108248715,1,IDH-NPM1,NPM1-FLT3
CD83,0.103068288424476,0.372196878968825,1,IDH-NPM1,NPM1-FLT3
